A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Jannik Sinner,Juan Manuel Cerundolo,1,56,14750,935,24.0,24.0,191.0,183.0,1.0,,Clay,G,5,206173.0,207678.0
Martin Landaluce,Vit Kopriva,69,66,827,856,20.0,28.0,193.0,178.0,,,Clay,G,5,,200240.0
Arthur Rinderknech,Matteo Berrettini,25,105,1736,585,30.0,30.0,196.0,196.0,22.0,,Clay,G,5,126239.0,
Francisco Comesana,Luciano Darderi,102,17,598,2260,25.0,24.0,178.0,183.0,,14.0,Clay,G,5,207681.0,209260.0
Jan-Lennard Struff,Jaime Faria,80,115,739,548,36.0,22.0,193.0,188.0,,,Clay,G,5,,210262.0
Hubert Hurkacz,Frances Tiafoe,99,22,600,1905,29.0,28.0,196.0,188.0,,19.0,Clay,G,5,128034.0,126207.0
Matteo Arnaldi,Stefanos Tsitsipas,104,79,586,740,25.0,27.0,185.0,193.0,,,Clay,G,5,208286.0,126774.0
Raphael Collignon,Ben Shelton,62,5,866,4070,24.0,23.0,191.0,193.0,,5.0,Clay,G,5,209920.0,210097.0
Felix Auger-Aliassime,Roman Andres Burruchaga,6,68,4050,833,25.0,24.0,193.0,183.0,4.0,,Clay,G,5,,
Luca Van Assche,Brandon Nakashima,100,35,599,1295,22.0,24.0,178.0,188.0,,31.0,Clay,G,5,,206909.0
Adolfo Daniel Vallejo,Moise Kouame,71,318,786,165,22.0,17.0,185.0,191.0,,,Clay,G,5,,
Alejandro Tabilo,Valentin Vacherot,36,19,1278,2103,28.0,27.0,188.0,193.0,,16.0,Clay,G,5,126214.0,200473.0
Flavio Cobolli,Yibing Wu,14,92,2340,655,24.0,26.0,183.0,183.0,10.0,,Clay,G,5,207925.0,200059.0
Facundo Diaz Acosta,Learner Tien,151,18,407,2180,25.0,20.0,183.0,180.0,,18.0,Clay,G,5,,210530.0
Francisco Cerundolo,Hugo Gaston,26,118,1570,533,27.0,25.0,185.0,173.0,25.0,,Clay,G,5,202103.0,200384.0
Zachary Svajda,Adam Walton,85,97,696,614,23.0,27.0,175.0,183.0,,,Clay,G,5,208260.0,200443.0
Alex de Minaur,Alexander Blockx,7,37,3855,1238,27.0,21.0,183.0,191.0,8.0,,Clay,G,5,,210696.0
Mariano Navone,Jakub Mensik,38,27,1215,1550,25.0,20.0,178.0,193.0,,26.0,Clay,G,5,208363.0,210150.0
Nuno Borges,Miomir Kecmanovic,51,48,970,980,29.0,26.0,185.0,183.0,,,Clay,G,5,132686.0,200175.0
Camilo Ugo Carabelli,Andrey Rublev,59,13,890,2460,26.0,28.0,185.0,188.0,,11.0,Clay,G,5,200116.0,126094.0
Casper Ruud,Hamad Medjedovic,16,58,2275,894,27.0,22.0,183.0,188.0,15.0,,Clay,G,5,134770.0,209098.0
Lorenzo Sonego,Tommy Paul,70,21,815,1945,31.0,29.0,191.0,185.0,,24.0,Clay,G,5,132283.0,126205.0
Joao Fonseca,Dino Prizmic,30,72,1435,785,19.0,20.0,185.0,188.0,28.0,,Clay,G,5,211663.0,209976.0
Valentin Royer,Novak Djokovic,74,4,773,4460,24.0,39.0,188.0,188.0,,3.0,Clay,G,5,208316.0,104925.0
Nishesh Basavareddy,Alex Michelsen,148,42,409,1115,21.0,21.0,180.0,193.0,,,Clay,G,5,210460.0,210506.0
James Duckworth,Rafael Jodar,82,29,722,1461,34.0,19.0,183.0,,,27.0,Clay,G,5,105902.0,212588.0
Alejandro Davidovich Fokina,Thiago Agustin Tirante,23,60,1860,887,26.0,25.0,183.0,185.0,21.0,,Clay,G,5,200221.0,202058.0
Thanasi Kokkinakis,Pablo Carreno Busta,854,89,29,685,30.0,34.0,193.0,188.0,,,Clay,G,5,,105807.0
Karen Khachanov,Marco Trungelliti,15,81,2320,731,30.0,36.0,198.0,178.0,13.0,,Clay,G,5,111575.0,
Federico Cina,Jesper de Jong,238,106,242,580,19.0,25.0,185.0,180.0,,,Clay,G,5,,
Ugo Humbert,Quentin Halys,32,90,1370,678,27.0,29.0,188.0,191.0,32.0,,Clay,G,5,200005.0,111460.0
Tomas Machac,Alexander Zverev,43,3,1080,5705,25.0,29.0,183.0,198.0,,2.0,Clay,G,5,207830.0,100644.0
